rank,lemma,absolute_frequency,freq_cat
1046,tradiční,11831,  
1047,společenský,11816,  
1048,slavný,11801,  
1049,výzkum,11797,  
1050,obsah,11794,  
1051,založit,11791,  
1052,šťastný,11785,  
1053,policejní,11779,  
1053,poskytnout,11779,  
1054,pozornost,11765,  
1055,kůň,11753,  
1056,R,11742,  
1057,úvaha,11734,  
1058,festival,11715,  
1059,bratr,11707,  
1059,stupeň,11707,  
1060,objem,11702,  
1061,příjemný,11676,  
1062,the,11648,  
1063,umožnit,11645,  
1064,samý,11644,  
1065,hvězda,11634,  
1065,no,11634,  
1065,okres,11634,  
1066,uvažovat,11629,  
1067,požádat,11621,  
1068,řidič,11617,  
1069,nadále,11612,  
1070,rozhodně,11594,  
1071,jenže,11571,  
1072,Milan,11568,  
1073,praxe,11565,  
1074,motor,11564,  
1075,církev,11561,  
1076,provést,11553,  
1077,včerejší,11537,  
1078,čtenář,11533,  
1079,středa,11522,  
1080,předchozí,11509,  
1081,anebo,11507,  
1082,kilometr,11497,  
1083,fakt,11493,  
1084,operace,11481,  
1084,poměrně,11481,  
1085,podílet,11478,  
1086,postavení,11458,  
1087,tvůj,11448,  
1088,technologie,11446,  
1089,str,11439,  
1090,následující,11432,  
1091,vysoko,11427,  
1092,vlak,11420,  
1093,poněkud,11414,  
1094,tabulka,11409,  
1095,§,11407,  
1096,návrat,11403,  
1097,produkce,11397,  
1097,silnice,11397,  
1098,příslušný,11387,  
1099,zapomenout,11382,  
1100,tisk,11367,  
1101,produkt,11344,  
1102,vítěz,11334,  
1103,tj,11312,  
1104,st,11310,  
1105,OSN,11288,  
1106,Zlín,11274,  
1107,zvíře,11255,  
1108,sport,11249,  
1109,dodávat,11248,  
1110,pochopit,11246,  
1110,žádat,11246,  
1111,zkouška,11245,  
1112,strom,11235,  
1113,vytvářet,11228,  
1114,živý,11217,  
1115,radost,11211,  
1116,kus,11210,  
1117,trať,11207,  
1118,takto,11198,  
1119,slunce,11194,  
1120,cm,11186,  
1120,tentokrát,11186,  
1121,třicet,11163,  
1122,Hradec,11155,  
1123,severní,11151,  
1124,nést,11139,  
1125,čtvrtý,11124,  
1126,kvalitní,11106,  
1127,zahrada,11103,  
1128,strach,11100,  
1129,zúčastnit,11099,  
1130,režisér,11095,  
1131,literatura,11092,  
1132,L,11090,  
1133,manžel,11089,  
1134,stanovit,11078,  
1135,ohled,11072,  
